Key length,Correct count,Proportion correct
Key length: 592, Correct count: 49, Proportion correct: 0.0828
Key length: 296, Correct count: 130, Proportion correct: 0.2196
Key length: 197, Correct count: 232, Proportion correct: 0.3919
Key length: 148, Correct count: 480, Proportion correct: 0.8108
Key length: 118, Correct count: 547, Proportion correct: 0.9240
Key length: 98, Correct count: 586, Proportion correct: 0.9899
Key length: 84, Correct count: 592, Proportion correct: 1.0000
Key length: 74, Correct count: 592, Proportion correct: 1.0000
Key length: 65, Correct count: 592, Proportion correct: 1.0000
Key length: 59, Correct count: 592, Proportion correct: 1.0000
Key length: 53, Correct count: 592, Proportion correct: 1.0000
Key length: 49, Correct count: 592, Proportion correct: 1.0000
Key length: 45, Correct count: 592, Proportion correct: 1.0000
Key length: 42, Correct count: 592, Proportion correct: 1.0000
Key length: 39, Correct count: 592, Proportion correct: 1.0000
Key length: 37, Correct count: 592, Proportion correct: 1.0000
Key length: 34, Correct count: 592, Proportion correct: 1.0000
Key length: 32, Correct count: 592, Proportion correct: 1.0000
Key length: 31, Correct count: 592, Proportion correct: 1.0000
Key length: 29, Correct count: 592, Proportion correct: 1.0000
Key length: 28, Correct count: 592, Proportion correct: 1.0000
Key length: 26, Correct count: 592, Proportion correct: 1.0000
Key length: 25, Correct count: 592, Proportion correct: 1.0000
Key length: 24, Correct count: 592, Proportion correct: 1.0000
Key length: 23, Correct count: 592, Proportion correct: 1.0000
Key length: 22, Correct count: 592, Proportion correct: 1.0000
Key length: 21, Correct count: 592, Proportion correct: 1.0000
Key length: 20, Correct count: 592, Proportion correct: 1.0000
Key length: 19, Correct count: 592, Proportion correct: 1.0000
Key length: 18, Correct count: 592, Proportion correct: 1.0000
Key length: 17, Correct count: 592, Proportion correct: 1.0000
Key length: 16, Correct count: 592, Proportion correct: 1.0000
Key length: 15, Correct count: 592, Proportion correct: 1.0000
Key length: 14, Correct count: 592, Proportion correct: 1.0000
Key length: 13, Correct count: 592, Proportion correct: 1.0000
Key length: 12, Correct count: 592, Proportion correct: 1.0000
Key length: 11, Correct count: 592, Proportion correct: 1.0000
Key length: 10, Correct count: 592, Proportion correct: 1.0000
Key length: 9, Correct count: 592, Proportion correct: 1.0000
Key length: 8, Correct count: 592, Proportion correct: 1.0000
Key length: 7, Correct count: 592, Proportion correct: 1.0000
Key length: 6, Correct count: 592, Proportion correct: 1.0000
Key length: 5, Correct count: 592, Proportion correct: 1.0000
Key length: 4, Correct count: 592, Proportion correct: 1.0000
Key length: 3, Correct count: 592, Proportion correct: 1.0000
Key length: 2, Correct count: 592, Proportion correct: 1.0000
Key length: 1, Correct count: 592, Proportion correct: 1.0000
